References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
Q1	1	2N7002 SOT23	Fairchild Semiconductor	2N7002							2N7002NCT-ND	5122N7002VA	7613571	58K9651	
R2, R5	2														
C1, C2, C3, C4, C5	5	100nF 0805 Capacitor	Yageo	CC0805KRX7R9BB104	Murata	GRM21BR71H104KA01L	Yageo	CC0805KRX7R9BB104	Murata	GRM21BR71H104KA01L	490-1666-1-ND	81GRM40X104K50L	7900698	38K1694	1118193
R3	1	10k 0805 Resistor	Yageo	RC0805FR-0710KL	Panasonic	ERJ-6ENF1002V	Vishay	CRCW080510K0FKEA			311-10.0KCRCT-ND	603RC0805FR0710KL	6185163	05M4535	
R4, R6, R7, R10, R11	5	1k 0805 Resistor	Yageo	RC0805FR-071KL	Panasonic	ERJ-6ENF1001V	Vishay	CRCW08051K00FKEA			311-1.00KCRCT-ND	603RC0805FR071KL	6183583	68R0225	
C6	1	1uF 0805 Capacitor	Yageo	CC0805KKX7R8BB105	Murata	GRM21BR71H105KA12L	Yageo	CC0805KKX7R8BB105	Murata	GRM21BR71H105KA12L	490-4736-1-ND	81GRM21BR71H105KA2L	7236102	68R4884	1735541
R8, R9	2	33 Ohm 0805 Resistor	Panasonic	EXB-S8V330J							311-33ARCT-ND	667EXBS8V330J	7708767	64R5398	
R1	1	48.7 Ohm 0805 Resistor	TE Connectivity	RN73C2A48R7BTG							RN73C2A48R7BTG-ND	279RN73C2A48R7BTG			
X1, X2	2	SMA 50 Ohm End Launch Jack Receptacle - Round Contact		142-0711-821							J629-ND	5301420711821	8858762	16F3627	
U1	1	USB Peripheral/Host Controller w/ SPI	Maxim	MAX3421EEHJ+	Maxim	MAX3421EEHJ+T					MAX3421EEHJ+-ND	700MAX3421EEHJT	7327775	89Y7298	
U2	1	UHS Dual Inverter with Schmitt Trigger		NC7WZ14							NC7WZ14P6XCT-ND	512NC7WZ14FHX	8061205	58K2001	
LED1, LED2, LED3, LED4, LED5	5	1206 LED	Lite-On	LTST-C150EKT							160-1168-1-ND	859LTSTC150EKT	6920865		
F1	1	PTC 2A Resettable Fuse		1206L200SLYR							F5766CT-ND	5761206L200SLYR		69W6448	
J3	1	USB A through hole	TE Connectivity / AMP	292303-1							A31726-ND	523UE27AC54100	7199431	53K4093	
J2	1	DC Barrel Jack SparkFun PRT-10811													
IC1	1			ATXMEGA128D4-AU							ATXMEGA128D4-AU-ND	556ATXMEGA128D4AN	9225413	92T0893	2425147
